vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Louisiana,2021,Age,24 Months,79,72.3 to 85.0,428,2023
DTaP,≥4 Doses,States/Local Areas,Louisiana,2022,Age,24 Months,81.4,71.1 to 89.8,214,2024
DTaP,≥4 Doses,States/Local Areas,Maine,2018,Age,24 Months,91.3,86.8 to 94.8,251,2020
DTaP,≥4 Doses,States/Local Areas,Maine,2019,Age,24 Months,83.4,77.3 to 88.6,244,2021
DTaP,≥4 Doses,States/Local Areas,Maine,2020,Age,24 Months,91.7,87.3 to 95.0,223,2022
DTaP,≥4 Doses,States/Local Areas,Maine,2021,Age,24 Months,82.3,76.3 to 87.6,228,2023
DTaP,≥4 Doses,States/Local Areas,Maine,2022,Age,24 Months,83.6,70.0 to 93.4,133,2024
DTaP,≥4 Doses,States/Local Areas,Maryland,2018,Age,24 Months,84.2,80.2 to 87.8,837,2020
DTaP,≥4 Doses,States/Local Areas,Maryland,2019,Age,24 Months,82.4,77.7 to 86.6,614,2021
DTaP,≥4 Doses,States/Local Areas,Maryland,2020,Age,24 Months,87.5,83.5 to 91.0,494,2022
DTaP,≥4 Doses,States/Local Areas,Maryland,2021,Age,24 Months,82.9,77.3 to 87.8,525,2023
DTaP,≥4 Doses,States/Local Areas,Maryland,2022,Age,24 Months,85.7,77.8 to 91.9,268,2024
DTaP,≥4 Doses,States/Local Areas,Massachusetts,2018,Age,24 Months,92.4,87.5 to 95.9,365,2020
DTaP,≥4 Doses,States/Local Areas,Massachusetts,2019,Age,24 Months,86.3,80.0 to 91.5,295,2021
DTaP,≥4 Doses,States/Local Areas,Massachusetts,2020,Age,24 Months,86.6,80.0 to 91.9,268,2022
DTaP,≥4 Doses,States/Local Areas,Massachusetts,2021,Age,24 Months,93.2,89.5 to 96.0,277,2023
DTaP,≥4 Doses,States/Local Areas,Massachusetts,2022,Age,24 Months,84.7,76.5 to 91.2,175,2024
DTaP,≥4 Doses,States/Local Areas,Michigan,2018,Age,24 Months,86.1,80.8 to 90.5,415,2020
DTaP,≥4 Doses,States/Local Areas,Michigan,2019,Age,24 Months,84.3,79.0 to 88.9,375,2021
DTaP,≥4 Doses,States/Local Areas,Michigan,2020,Age,24 Months,78.7,71.6 to 85.2,448,2022
DTaP,≥4 Doses,States/Local Areas,Michigan,2021,Age,24 Months,81.2,74.7 to 87.0,467,2023
DTaP,≥4 Doses,States/Local Areas,Michigan,2022,Age,24 Months,85.4,77.0 to 92.0,251,2024
DTaP,≥4 Doses,States/Local Areas,Minnesota,2018,Age,24 Months,77.1,70.1 to 83.5,328,2020
DTaP,≥4 Doses,States/Local Areas,Minnesota,2019,Age,24 Months,83.9,77.7 to 89.3,283,2021
DTaP,≥4 Doses,States/Local Areas,Minnesota,2020,Age,24 Months,85.1,79.2 to 90.1,239,2022
