state,bill_number,bill_status,text_description,comments,bill_valency
Puerto Rico,PR HB 2105,Not enacted,Would change insurance coverage requirements to guarantee access to vaccination services,NA,Good
Rhode Island,RI HB 7934,Not enacted,Would expand data reporting requirements for pharmacists administering immunizations to those between 3-18 years old,NA,Good
Rhode Island,RI SB 2379,Enacted,"Distances immunization requirements from federal recommendations, allowing for DOH director discretion, and requires insurers to cover vaccines recommended by DOH",NA,Good
Rhode Island,RI HB 7625,Enacted,Requires various insurers to cover vaccines recommended by DOH,NA,Good
Rhode Island,RI SB 2565,Not enacted,"Would prohibit health providers from discriminating against patients based on vaccination status and from requiring patients choosing to delay/decline vaccination to sign liability waiver, and adds requirements to informed consent process",NA,Bad
Rhode Island,RI SB 2386,Not enacted,Would require insurers to cover vaccines administered by pharmacists within their scope of practice,NA,Good
South Carolina,SC S 897,Not enacted,Would remove religious exemption for MMR vaccines for those attending public schools,NA,Good
South Carolina,SC S 741,Not enacted,Would establish that no vaccine can be mandated for infants under 24 months (but would allow infants to receive vaccines at the voluntary request of the parents),NA,Bad
South Carolina,SC S 1029,Not enacted,"Would allow private childcare facilities, registered church or religious day care facilities, and private schools to adopt their own immunization requirements",NA,Bad
South Carolina,SC H 4803,Not enacted,Would require any communication to parents about childhood immunization requirements to also include information about obtaining exemptions,NA,Bad
South Dakota,SD SB 100,Not enacted,Would prohibit the addition of any new childhood vaccine requirements beyond those currently mandated,NA,Bad
South Dakota,SD HB 1223,Not enacted,"Would allow for ""conscience exemptions"" from vaccination requirements",NA,Bad
Tennessee,TN HJR 908,Enacted,"Establishes March 4, 2026, as HPV Awareness Day",NA,Good
Tennessee,TN HB 853,Not enacted,Would require providers to receive informed consent from guardians before providing vaccination to a minor,NA,Bad
Tennessee,TN SJR 620,Not enacted,"Would prohibit the state from imposing vaccination requirements, even during declared state of emergency",NA,Bad
Tennessee,TN HB 638 & HB 1389,Enacted,Prohibits insurers from penalizing health providers who issue vaccination exemptions,NA,Bad
Texas,TX HB 1586,Enacted,Requires the health department to provide a blank affidavit form for claiming a vaccination exemption and to post it on their website,NA,Bad
Texas,TX HJR 91,Not enacted,Proposes a constitutional amendment recognizing the right of an individual to refuse vaccination without impacting their ability to attend school,Died in committee,Bad
Texas,TX HB 3441,Enacted,Establishes civil liability for vaccine manufacturers that advertise their products in the state if the vaccine causes harm or injury,Not sure if we should be including this,Bad
Texas,TX HB 1356,Not enacted,Would prohibit discrimination by health care providers based on vaccination status,Died in committee,Bad
Texas,TX S 46,Status unavailable,Would change state immunization registry from opt-in to opt-out and create clear procedures for those who want their information excluded,Died in committee,Good
Utah,UT HB 152,Not enacted,Would repeal requirements for parents to complete online education or provider consultation to receive vaccination exemption form,NA,Bad
