state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
Illinois,IL HR 129,1,1,1,Declares a specified date as Vaccine Awareness Day to educate the public about the importance of vaccines and urges the Department of Health to continue prioritizing and investing in immunization,
Indiana,IN SB 174,1,0,0,"Would change immunization reporting requirements, prohibit health care providers from being required to perform services that ""violate their conscience"", and require documentation of vaccination history for children whose deaths are being reviewed",
Missouri,MO SB 1428,0,0,0,Would prohibit public schools from requiring COVID-19 vaccination,
Missouri,MO HB 1679,0,0,0,Would prohibit health care providers from refusing health care services to children based on vaccination status,
Indiana,IN HB 1224,1,0,0,Would establish a state VAERS ,
Missouri,MO SB 1236,0,0,0,Would require physicians to provide written and verbal notice of Open Payments database and any benefits physician has received relating to a vaccine the physician is recommending,
Missouri,MO SB 1223,0,0,0,"Would require products to be labeled as ""Potential Gene Therapy Product"" that have been created to introduce genetic material into the user",
Indiana,IN HB 1168,1,0,0,Would prohibit vaccine mandates across settings,
Missouri,MO SB 841,0,0,1,Same as above,
Missouri,MO HB 1195 / MO SB 548,0,0,0,"Would restrict pharmacists from ordering and administering some childhood vaccines (e.g., polio, Hib vaccines)",Died in committee
Missouri,MO HB 943,NA,0,1,Would require pediatricians to administer hepatitis B vaccines to infants vulnerable to disease and would limit ability of pharmacists to administer childhood vaccines,Died in chamber. I thought the hepatitis B part of this was interesting.
Indiana,IN HB 1071,1,0,0,Would expand non-medical exemptions,
Indiana,IN HB 1344,1,0,0,Would establish state-level vaccination adverse event reporting system,
Iowa,IA SF 2345,1,0,0,Would require communications about vaccination recommendations to include information about exemptions,
Iowa,IA HF 2710,1,0,0,Would loosen requirements for obtaining a religious exemption to school vaccine requirements,
Iowa,IA SF 304,1,0,0,Would remove minor's ability to consent to vaccination for a sexually transmitted disease or infection,Sent to Governor 5/5/26
Iowa,IA HF 2171,1,0,0,Would eliminate vaccination requirements in elementary and secondary education,
Iowa,IA HF 2097,1,0,0,Would require medical examiners to report immunization history for child deaths age 0-3 years,
Kansas,KS SB 315,1,0,0,Would require child care facilities and educational institutions to grant exemptions from vaccine requirements without inquiring into the sincerity of the request,Failed to pass in the 2023-2024 legislative session.
Kansas,KS SB 19,1,0,0,Would provide right to refuse vaccines for reasons of conscience,
Kansas,KS HB 2369,1,0,1,Would allow pharmacists to order and administer FDA-approved vaccines for individuals 7 years and older,
New Hampshire,NH SB 60 & HB 357,0,0,0,"Would remove school requirement for varicella (chicken pox), Hepatitis B, and Hib vaccines; would remove authority of Commissioner of Health and Human Services to make vaccine rules",Died in chamber
Kansas,KS HB 2045,1,1,0,Changes religious vaccine exemptions for childcare facilities to loosen exemption procedures for parents with “sincerely held” religious beliefs,
New Hampshire,NH HB 679,0,0,0,Would prohibit requiring childhood immunization with vaccines that have not been shown to prevent transmission of disease in clinical trials,Died in chamber
Kansas,KS SB 522,1,0,0,"Would establish the Kansas medical freedom act, which would prevent government entities and schools from denying access based on vaccination status",
New Hampshire,NH HB 10,0,1,0,"Establishes parental bill of rights regarding child's education, reaffirms religious immunization exemptions (currently allowed)",Signed by governor
Kentucky,KY HB 466,1,0,0,Would remove hepatitis B vaccination requirement and require state legislature approval for any additional immunization requirements,
New Jersey,NJ SCR 93,0,0,0,Urges Congress to reinstate service members discharged for refusing COVID-19 vaccination,
Kentucky,KY HB 629,1,0,0,Would prohibit health care providers from refusing to treat people who have not received a particular vaccine,
New Jersey,NJ S 878,0,0,0,Would prohibit institutions of higher education from requiring COVID-19 vaccination,
New Jersey,NJ S 785,0,0,0,"Would prohibit residential care facilities, hospices, veterans' homes from requiring visitors to submit proof of vaccination",
Kentucky,KY HB 110,1,0,0,Would expand non-medical vaccination exemptions to allow for conscientious objection,
New Jersey,NJ S 69,0,0,0,Would prohibit discrimination against individuals who have not received COVID-19 vaccines,
New Jersey,NJ S 1306,0,0,0,Would give parents the final say in what vaccines are administered to their children and would hold states liable for any damages caused by mandated vaccines,
Kentucky,KY HB 695,1,0,1,"Would prohibit insurers from imposing cost-sharing requirements on preventive services, including routine immunizations",
Kentucky,KY SR 282,1,1,1,Encourages all Kentuckians to be vaccinated against preventable illnesses,
New Jersey,NJ S 1957,0,0,0,Would prohibit teaching staff member from inputting individually identifiable health information of a student into third-party software application managed by entity that engages in partisan political activity,
New Jersey,NJ SR 23,0,0,NA,Would require the submission of a biennial report describing actions taken by DHHS to improve vaccine safety,
New Jersey,NJ S 1305,0,0,0,"Would require health care providers to distribute information about the safety of a particular vaccine, information about VAERS, and information about the option to opt out of the vaccine at least 48 hours prior to administration",
New Jersey,NJ S 766,0,0,0,Would require medical examiners to document vaccine history for any sudden infant deaths and submit federal reporting form,
New Jersey,NJ S 767,0,0,0,Would establish state VAERS,
New Jersey,NJ S 2629,0,0,NA,Would require insurers to reimburse health care providers for vaccines at a rate no less than CDC cost per dose,
New Jersey,NJ S 178,0,0,0,Would restrict optometrists' scope of practice to include administration of seasonal vaccines only to patients who are at least 18 years old,
New Jersey,NJ S 124,0,0,0,Would eliminate weekly COVID testing for unvaccinated state employees,
New Jersey,NJ A 624,NA,0,0,Would establish state-level vaccine adverse event reporting system specifically for children,Referred to committee â€“Â Unclear if this is good or bad
New Hampshire,NH S 75,0,0,1,Would authorize access for insurers to the state's immunization registry,
New Jersey,NJ A 1899,0,1,1,"Allows pharmacists, pharmacy interns, and pharmacy technicians to vaccinate children against COVID-19 / flu without prescription",Signed into law
New Jersey,NJ S 4067,NA,0,NA,Would require health insurance carriers to reimburse for vaccines at rates consistent with CDC cost per dose,"Still in committee - NJ does not really adjourn, they can still come back this fall"
New Jersey,NJ A 1307 / NJ S 377,0,0,0,"Would add additional requirements to obtain consent for vaccination, such as vaccine insert and VAERS reporting to guardian 48 hours prior to vaccine administration",Was introduced in 2024 but is still part of current session and can still be voted on
New Jersey,NJ A 1523,0,0,0,Would require parents to opt in to NJ Immunization Information System,Referred to committee
New Jersey,NJ S 379,0,0,0,"Would create a ""Children's Vaccination Bill of Rights,"" emphasizing vaccine opt-out",2023-24 session
New York,NY J 1608,0,1,1,Proclaims June 2026 as Meningitis B Awareness Month,
Louisiana,LA SB 36,1,0,0,Would expand informed consent process for vaccine administration and would prohibit individuals from consenting to vaccination within 12 hours of childbirth,
New York,NY A 4346,0,0,1,Would authorize administration of mpox vaccine by pharmacist or CNP,
New York,NY S 4548,0,0,1,Would authorize dentists to administer HPV vaccines,
Louisiana,LA HB 1041,1,0,0,"Would establish the ""Louisiana Medical Freedom Act"", which would prohibit schools and other government entities from requiring vaccination as a condition of access",
New York,NY A 9060 & NY S 8496,0,0,1,"Would allow physicians to prescribe or provide standing orders for pharmacists to administer immunizations recommended by AAP, AAFP, ACOG, ACP, or ACIP",
New York,NY J 1396,0,1,1,"Establishes April 24-30, 2026, as Immunization Week",
Louisiana,LA HB 655,1,1,0,Increases the patient's fee for vaccines at public health units from $10 to $50,NA
New York,NY S 7207 & NY A 3686,0,0,0,Would reinstate city officers and employees who were fired due to COVID-19 vaccine requirement,
Louisiana,LA SB 29,1,0,0,Would require coroners to include immunization history within autopsy reports for children who die unexpectedly,
New York,NY S 8495,0,0,1,Would allow pharmacists to administer certain vaccines where non-patient specific order exists or immunizations are authorized by commissioner of health/DOH,
New York,NY A 9260 & NY S 8716,0,0,NA,Related to scope of practice for COVID-19 vaccines,
Louisiana,LA HB 737,1,0,0,Would remove requirement for vaccines to prevent meningococcal diseases as a condition for school entry,
New York,NY A 3807,0,0,0,"Would establish ""Vaccine Bill of Rights"" and prohibit vaccination requirements for education or employment",
New York,NY A 2297,0,0,1,Would allow EMTs to administer certain vaccines ,
New York,NY A 5460,0,0,1,Would allow medical assistants to administer vaccines under appropriate supervision,
New York,NY A 3359,0,0,1,Would classify altering or destroying IIS data as computer tampering in the third degree,
New York,NY A 9226,0,0,NA,Would establish medical misinformation task force to combat medical misinformation provided by the federal government,
New York,NY S 7823 & NY A 8383,0,0,1,Would remove reference to the Advisory Committee on Immunization Practices (ACIP) in the state's meningococcal vaccine recommendation,Referred to committee
New York,NY S 7851 & NY A 8343,NA,0,1,Would add failure to immunize child to definition of parental neglect,Dead
New York,NY S 369 & NY A 7642,NA,0,1,Would protect vaccinated persons from discrimination,Referred to committee
New York,NY A 7692 & NY S 5706,NA,0,1,Would allow nursing students to administer vaccines,Kind of neutral - still in committee
New York,NY A 7988,NA,0,1,Would allow physician assistants to independently administer vaccines,Referred to committee
New York,NY S 5852,NA,0,NA,Would require insurance reimbursement for total practice expenses associated with vaccinations,Referred to committee
New York,NY S 7025,NA,0,1,Would allow pharmacy technicians to administer vaccines under pharmacist supervision,Referred to committee
New York,NY S 5700,NA,0,1,Would remove religious exemptions for post-secondary students,Referred to committee - not relevant for school-aged children but still interesting
New York,NY A 4993,NA,0,0,Would establish liability against the state for injury caused by administration of state-mandated vaccine,Referred to committee
New York,NY A 3860,NA,0,NA,Would direct schools to accept medical immunization exemptions,Referred to committee  - don't understand what this adds
New York,NY A 3254 + NY S 3958,NA,0,1,Would require immunizations for children and staff at summer camps,Referred to committee
New York,NY S 3299 & NY A 3455,NA,0,0,Would require parents to be present during vaccine administration,Referred to committee
New York,NY S 3547,NA,0,1,Would require school-based health centers to offer vaccination,Referred to committee
New York,NY A 2045,NA,0,0,Would remove school immunization requirements,Referred to committee
New York,NY A 2078,NA,0,1,Would require hepatitis B vaccination for post-secondary students,Referred to committee â€“Â not relevant for school-aged children but still interesting
New York,NY S 3020,0,0,0,Would exempt private and parochial schools from immunization requirements,Referred to committee
New York,NY S 266 & NY A 1358,0,0,0,Would allow for religious vaccination exemptions,Referred to committee
New York,NY A 1153,NA,0,1,Would require schools to use standardized medical immunization exemption request form,Referred to committee - unclear if this is good?
New York,NY A 3082,0,0,1,Would require middle schools and high schools to provide instruction on vaccine science,Referred to committee
New York,NY S 1570,0,0,1,Would permit children 14 years and older to receive vaccinations without parental consent,Referred to committee
New York,NY A 1908,0,0,0,Would require providers to provide additional information about vaccines 48 hours ahead of administering,Referred to committee
New York,NY S 453 & NY A 765,NA,0,1,Would require NYC providers to report immunization for those 19 and older to DOH/city immunization registry,Not relevant to target population but interesting
New York,NY S 4536 & NY A 1336,NA,0,1,Would require IIS to record data on vaccine exemptions reported by each health care provider,Referred to committee
New York,NY A 1153,0,0,1,Would standardize the medical immunization exemption request form for school use,
Maine,ME SB 2146,1,1,1,Expands state's Universal Purchase program to allow for purchase of vaccines recommended by AAP and other medical organizations and protects pharmacists who administer state-recommended vaccines from civil liability,
Maine,ME HB 107,1,0,0,Would restore religious exemptions to immunization requirements,Failed to passed
Maine,ME LD 1883,1,0,1,"Would establish Maine Health Plan for all residents, covering all childhood and adult vaccinations",Failed to passed
North Carolina,NC HB 89,NA,0,0,Would remove immunization requirements for college students in the state,Recessed
North Carolina,NC HB 75,NA,0,NA,Would add requirements for commercial messaging about vaccines,Not really relevant but interesting
Ohio,OH HB 319,0,0,0,Would prohibit discrimination based on vaccination status,2023-24 session
Maine,ME SB 478,1,1,1,Allows pharmacists to administer vaccines to children 3 years and older with a prescription,
Maine,ME HB 2071,1,1,1,"Requires insurance carriers to provide coverage for vaccines without cost-sharing and allows pharmacists to prescribe, dispense, and administer FDA-licensed vaccines regardless of ACIP recommendation",
Oklahoma,OK SB 1484,0,0,0,Would require medical examiners to review and document immunization history in certain deaths of children,
Maryland,MD HB 1135,1,1,1,Allows pharmacists to order certain vaccinations for individuals 3 years or older without having to also administer the vaccine,
Oklahoma,OK SB 1237,0,0,0,Would give teachers the right to refuse vaccination as a condition of employment,
Maryland,MD SB 385,1,1,1,Establishes authority for the DOH secretary to issue official immunization recommendations outside of ACIP recommendations that pharmacists can administer and that insurers must cover without cost-sharing,
Oklahoma,OK SB 1808,0,0,0,Same as above,
Oklahoma,OK SB 1853,0,0,0,Would require medical examiner to review immunization history of any person whose death is under investigation,
Oklahoma,OK SB 1658,0,0,0,Would require vaccine manufacturers to provide plain-language summary of side effects that are material to informed consent,
Maryland,MD HB 608,1,0,0,Would require county board of education to grant students temporary admission to schools if parent is unable to provide proof of immunization,Died in committee
Oklahoma,OK SB 2029,0,0,0,Similar to above,
Maryland,MD HB 974,1,1,1,Allows the health commissioner to adopt regulations as needed to ensure that health insurers cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP) as of December 2024.,NA
Oklahoma,OK SB 1977,0,0,0,Would prohibit requirements for COVID-19 vaccination,
Oklahoma,OK SB 1483,0,0,0,Same as SB 1548,
Oklahoma,OK SB 1549,0,0,0,Same as SB 1548,
Oklahoma,OK SB 2101,0,0,0,Would hold pharmaceutical companies liable if products are proven to directly cause harm to an Oklahoma citizen and may be criminally prosecuted under certain conditions,
Oklahoma,OK SB 1938,0,0,0,"Would prohibit the use of RNA-based vaccines, even during declared emergencies",
Oklahoma,OK SB 2017,0,0,0,Would prohibit administration of gene-based vaccines through 2030,
Maryland,MD HB 184,1,0,1,"Would establish Healthy Maryland Program, which would provide comprehensive, universal health care services for state residents, including immunizations",
Oklahoma,OK SB 1808,0,0,0,"Would require medical examiners to document immunization history for sudden or unexplained deaths of infants, children, or the young (anyone under 20 years old).",
Oklahoma,OK SB 1853,0,0,0,Would require medical examiners to review immunization records of any death investigation ,
Oklahoma,OK SB 943,0,0,0,"Would create ""Oklahoma Medical Freedom Act"" to prevent discrimination due to vaccination status",Died in committee
Oklahoma,OK HB 1475,0,0,0,Would prohibit school discrimination against students due to vaccination status,Died in committee
Oklahoma,OK SB 762,NA,0,NA,Would prevent state from basing decisions on World Health Organization mandates,Died in committee but thought it was interesting
Oklahoma,OK SB 941,0,0,0,Would add additional requirements for labeling vaccine ingredients,Died in committee
Oklahoma,OK SB 879,NA,0,0,Would prohibit administration of Hepatitis B birth dose vaccination without written consent,Died in committee and not relevant for school-aged children
Oklahoma,OK SB 807,0,0,0,Would require providers to give caregivers additional information and obtain written consent before administering vaccines,Died in committee
Oklahoma,OK HB 3249,0,0,0,Would allow conscientious exemptions to childcare vaccine requirements,2023-24
Massachusetts,MA HB 4761,1,1,1,Gives health commissioner the authority to independently make decisions regarding childhood vaccine requirements with the help of a newly established committee on immunization recommendations,
Massachusetts,MA SB 1557,1,0,1,Would require all schools to annually report aggregate immunization data and to make school-level data public,
Oregon,OR SB 1100,NA,0,0,Would prohibit schools from requiring any mRNA vaccines for enrollment,Failed
