Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Rotavirus,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a Non-MSA,78.8,67.3 to 90.2,94
Rotavirus,,States/Local Areas,South Carolina,2014-2017,Poverty,<133% FPL,68.1,61.5 to 74.8,327
Rotavirus,,States/Local Areas,South Carolina,2014-2017,Overall,Overall,76.4,72.7 to 80.0,997
Rotavirus,,States/Local Areas,South Carolina,2015,Age,8 Months,70.7,62.9 to 77.4,273
Rotavirus,,States/Local Areas,South Carolina,2015-2016,Age,8 Months,74.6,69.2 to 79.2,564
Rotavirus,,States/Local Areas,South Carolina,2016,Age,8 Months,78.6,71.0 to 84.6,291
Rotavirus,,States/Local Areas,South Carolina,2016-2017,Age,8 Months,77.2,72.1 to 81.6,579
Rotavirus,,States/Local Areas,South Carolina,2014,Age,8 Months,72.6,65.0 to 79.1,251
Rotavirus,,States/Local Areas,South Carolina,2014-2015,Age,8 Months,71.6,66.2 to 76.5,524
Rotavirus,,States/Local Areas,South Carolina,2012,Age,8 Months,64.4,55.5 to 72.4,255
Rotavirus,,States/Local Areas,South Carolina,2013,Age,8 Months,71.2,63.4 to 77.9,261
Rotavirus,,States/Local Areas,South Carolina,2013-2014,Age,8 Months,71.9,66.4 to 76.8,512
Rotavirus,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Private Insurance Only,84,79.9 to 88.1,501
Rotavirus,,States/Local Areas,South Carolina,2011,Age,8 Months,75.4,67.6 to 81.9,252
Hep A,≥1 Dose,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",88.8,80.1 to 97.5,90
PCV,≥4 Doses,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Any Medicaid,78.8,73.5 to 84.0,415
DTaP,≥4 Doses,States/Local Areas,South Carolina,2016-2019,Poverty,133% to <400% FPL,79.9,74.8 to 85.0,435
Hib,Full Series,States/Local Areas,South Carolina,2020-2021,Age,24 Months,70,63.9 to 75.9,431
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,Hispanic,87.9,74.3 to 100.0,138
PCV,≥3 Doses,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,Hispanic,87.6,80.3 to 95.0,138
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"White, Non-Hispanic",79.4,75.4 to 83.4,610
Hep B,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,89.9,84.8 to 93.4,431
DTaP,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,13 Months,88,82.8 to 91.9,431
Hib,Primary Series,States/Local Areas,South Carolina,2021,Age,13 Months,77.7,68.9 to 84.5,188
Hep B,"≥1 Dose, 2 Day",States/Local Areas,South Carolina,2020-2021,Age,0-2 Days,78.6,73.0 to 83.4,431
Hib,Full Series,States/Local Areas,South Carolina,2020-2021,Age,35 Months,75.6,68.2 to 82.4,431
Polio,≥3 Doses,States/Local Areas,South Carolina,2021,Age,19 Months,89.9,82.2 to 94.5,188
≥1 Dose MMR,,States/Local Areas,South Carolina,2021,Age,19 Months,84.5,76.1 to 90.3,188
Hep A,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,34.2,28.5 to 40.3,431
Hep B,≥2 Doses,States/Local Areas,South Carolina,2021,Age,5 Months,87.3,78.8 to 92.7,188
≥1 Dose MMR,,States/Local Areas,South Carolina,2020-2021,Age,13 Months,59.4,53.1 to 65.4,431
≥1 Dose Varicella,,States/Local Areas,South Carolina,2021,Age,13 Months,52.5,43.3 to 61.5,188
Hep B,≥3 Doses,States/Local Areas,South Carolina,2021,Age,13 Months,90.7,82.9 to 95.2,188
Polio,≥2 Doses,States/Local Areas,South Carolina,2021,Age,5 Months,79.9,70.8 to 86.7,188
DTaP,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,91.3,86.6 to 94.9,431
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,South Carolina,2020-2021,Age,0-3 Days,80.2,74.7 to 84.8,431
Polio,≥3 Doses,States/Local Areas,South Carolina,2021,Age,35 Months,89.9,83.0 to 94.9,188
≥1 Dose Varicella,,States/Local Areas,South Carolina,2021,Age,35 Months,88.3,80.9 to 93.8,188
DTaP,≥4 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,77.7,71.8 to 83.1,431
Hep A,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,19 Months,78.9,72.8 to 83.9,431
Combined 7 Series,,States/Local Areas,South Carolina,2021,Age,24 Months,63.7,54.5 to 72.8,188
Rotavirus,,States/Local Areas,South Carolina,2020-2021,Age,8 Months,78.1,71.9 to 83.3,431
DTaP,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,90.7,86.1 to 94.4,431
Hib,Primary Series,States/Local Areas,South Carolina,2020-2021,Age,35 Months,91.3,86.6 to 94.9,431
Hib,Primary Series,States/Local Areas,South Carolina,2020-2021,Age,19 Months,88.9,83.7 to 92.6,431
≥1 Dose Varicella,,States/Local Areas,South Carolina,2020-2021,Age,19 Months,84.7,79.1 to 89.0,431
Hep B,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,3 Months,94.8,90.4 to 97.2,431
PCV,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,89.9,84.9 to 93.8,431
DTaP,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,3 Months,89.1,83.9 to 92.8,431
Hep B,"≥1 Dose, 1 Day",States/Local Areas,South Carolina,2020-2021,Age,0-1 Days,76,70.1 to 81.1,431
PCV,≥4 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,85.8,77.7 to 92.1,431
Hib,Full Series,States/Local Areas,South Carolina,2021,Age,35 Months,71.3,62.0 to 80.0,188
Hib,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,3 Months,86.4,81.0 to 90.4,431
Hep B,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,92,87.2 to 95.1,431
Hib,Primary Series,States/Local Areas,South Carolina,2020-2021,Age,13 Months,79.8,74.1 to 84.6,431
Rotavirus,,States/Local Areas,South Carolina,2021,Age,8 Months,77.8,68.4 to 85.0,188
PCV,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,89.9,84.9 to 93.8,431
Polio,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,89,83.8 to 92.7,431
Hib,≥3 Doses,States/Local Areas,South Carolina,2021,Age,13 Months,57.4,48.1 to 66.2,188
DTaP,≥4 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,69.5,63.2 to 75.0,431
Hep B,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,5 Months,90.3,85.5 to 93.7,431
Hib,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,84,78.2 to 88.5,431
Combined 7 Series,,States/Local Areas,South Carolina,2020-2021,Age,24 Months,64.4,58.2 to 70.6,431
Influenza,,States/Local Areas,South Carolina,2020-2021,Age,24 Months,37.8,32.2 to 43.9,431
DTaP,≥4 Doses,States/Local Areas,South Carolina,2021,Age,35 Months,85.4,76.3 to 92.3,188
Hep B,≥3 Doses,States/Local Areas,South Carolina,2021,Age,35 Months,91.5,84.6 to 96.1,188
Hep B,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,62.6,56.2 to 68.6,431
PCV,≥4 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,76.6,70.4 to 81.9,431
Hib,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,88.3,82.9 to 92.6,431
PCV,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,19 Months,88.8,83.3 to 92.7,431
Polio,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,91,86.1 to 94.2,431
DTaP,≥3 Doses,States/Local Areas,South Carolina,2021,Age,35 Months,90.9,84.2 to 95.6,188
Hep B,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,91.4,86.9 to 94.9,431
≥1 Dose MMR,,States/Local Areas,South Carolina,2020-2021,Age,35 Months,91.9,86.6 to 95.7,431
Hep B,≥2 Doses,States/Local Areas,South Carolina,2021,Age,13 Months,91.8,83.9 to 96.0,188
≥1 Dose Varicella,,States/Local Areas,South Carolina,2020-2021,Age,13 Months,51.7,45.4 to 58.0,431
DTaP,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,72.5,66.1 to 78.0,431
Hib,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,46.5,40.4 to 52.7,431
Hep A,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,83.2,71.8 to 91.9,431
Hep B,"≥1 Dose, 3 Day (Birth Dose)",States/Local Areas,South Carolina,2021,Age,0-3 Days,77,68.2 to 83.9,188
Hib,≥2 Doses,States/Local Areas,South Carolina,2021,Age,13 Months,91.1,83.3 to 95.4,188
Hib,Primary Series,States/Local Areas,South Carolina,2020-2021,Age,7 Months,69.7,63.3 to 75.5,431
DTaP,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,5 Months,81.4,75.6 to 86.1,431
Hib,Primary Series,States/Local Areas,South Carolina,2021,Age,35 Months,89.5,82.5 to 94.5,188
Hep A,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,48.4,42.1 to 55.0,431
≥1 Dose Varicella,,States/Local Areas,South Carolina,2020-2021,Age,24 Months,88.3,83.4 to 92.3,431
Polio,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,35 Months,90.8,86.0 to 94.4,431
≥1 Dose MMR,,States/Local Areas,South Carolina,2020-2021,Age,24 Months,88.7,83.8 to 92.7,431
Combined 7 Series,,States/Local Areas,South Carolina,2020-2021,Age,35 Months,72.8,65.1 to 79.9,431
Polio,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,5 Months,81,75.1 to 85.7,431
PCV,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,13 Months,87.3,81.9 to 91.3,431
Influenza,,States/Local Areas,South Carolina,2014-2017,Poverty,133% to <400% FPL,44.5,38.1 to 50.9,423
Influenza,,States/Local Areas,South Carolina,2014-2017,Poverty,<133% FPL,37.6,30.9 to 44.3,327
PCV,≥4 Doses,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Private Insurance Only,91.6,88.7 to 94.6,507
Influenza,,States/Local Areas,South Carolina,2021,Age,24 Months,35.1,27.4 to 44.2,188
DTaP,≥3 Doses,States/Local Areas,South Carolina,2021,Age,24 Months,90.9,84.2 to 95.6,188
Hib,≥2 Doses,States/Local Areas,South Carolina,2020-2021,Age,7 Months,90.5,85.6 to 93.8,431
≥1 Dose MMR,,States/Local Areas,South Carolina,2020-2021,Age,19 Months,84.7,79.1 to 89.0,431
Polio,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,3 Months,88.7,83.4 to 92.4,431
PCV,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,3 Months,88.9,83.7 to 92.6,431
≥1 Dose MMR,,States/Local Areas,South Carolina,2021,Age,13 Months,61,51.9 to 69.4,188
Hep A,≥1 Dose,States/Local Areas,South Carolina,2020-2021,Age,24 Months,84.4,79.0 to 89.0,431
Hib,≥3 Doses,States/Local Areas,South Carolina,2021,Age,35 Months,85,77.0 to 91.3,188
Polio,≥3 Doses,States/Local Areas,South Carolina,2020-2021,Age,24 Months,90.2,85.5 to 93.9,431
Hep A,≥1 Dose,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Private Insurance Only,92.5,89.8 to 95.2,507
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"White, Non-Hispanic",85.7,79.3 to 92.1,610
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"Black, Non-Hispanic",84.2,74.6 to 93.8,124
Hep A,≥1 Dose,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Any Medicaid,87.3,83.0 to 91.6,415
Influenza,,States/Local Areas,South Carolina,2019,Age,24 Months,50.3,42.4 to 58.7,245
Influenza,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a MSA Non-Principal City,44.6,38.9 to 50.2,508
Influenza,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a Non-MSA,37.3,23.7 to 50.9,94
Influenza,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a MSA Principal City,47.3,40.7 to 54.0,395
Influenza,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,"White, Non-Hispanic",47.2,42.0 to 52.3,635
Influenza,,States/Local Areas,South Carolina,2017,Age,24 Months,42.1,35.0 to 50.1,288
Influenza,,States/Local Areas,South Carolina,2017-2018,Age,24 Months,41.7,36.4 to 47.5,532
Influenza,,States/Local Areas,South Carolina,2018,Age,24 Months,41.3,33.9 to 49.5,244
Influenza,,States/Local Areas,South Carolina,2018-2019,Age,24 Months,45.8,40.3 to 51.8,489
Influenza,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",40.6,30.9 to 50.3,131
Influenza,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Any Medicaid,41.7,35.8 to 47.7,440
Influenza,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",41.3,28.1 to 54.5,91
Influenza,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,Hispanic,48.4,38.0 to 58.8,140
Influenza,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Private Insurance Only,51.3,45.4 to 57.2,501
Influenza,,States/Local Areas,South Carolina,2014-2017,Overall,Overall,45,40.9 to 49.1,997
Hep A,≥1 Dose,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,Hispanic,84.4,75.6 to 93.2,138
Hib,Full Series,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Private Insurance Only,83.2,78.7 to 87.7,507
PCV,≥3 Doses,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Private Insurance Only,96.5,94.4 to 98.6,507
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85,73.0 to 96.9,90
Influenza,,States/Local Areas,South Carolina,2016,Age,24 Months,42.9,35.5 to 51.2,291
Influenza,,States/Local Areas,South Carolina,2016-2017,Age,24 Months,42.5,37.3 to 48.2,579
Influenza,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Uninsured,27.5,11.4 to 43.5,47
Influenza,,States/Local Areas,South Carolina,2014-2017,Poverty,>400% FPL,61.5,53.5 to 69.4,247
PCV,≥1 Dose,States/Local Areas,South Carolina,2021,Age,3 Months,87,78.0 to 92.7,188
Hib,Full Series,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.2,62.4 to 86.0,90
PCV,≥3 Doses,States/Local Areas,South Carolina,2019-2020,Age,19 Months,91.7,86.8 to 94.8,488
Hep B,≥2 Doses,States/Local Areas,South Carolina,2019-2020,Age,7 Months,94.1,90.0 to 96.5,488
PCV,≥3 Doses,States/Local Areas,South Carolina,2016-2019,Poverty,>400% FPL,98.1,96.4 to 99.9,262
Hep B,≥3 Doses,States/Local Areas,South Carolina,2019-2020,Age,7 Months,55.4,49.3 to 61.4,488
Hib,Full Series,States/Local Areas,South Carolina,2016-2019,Race and Ethnicity,Hispanic,69.6,59.0 to 80.2,138
Hib,Primary Series,States/Local Areas,South Carolina,2019,Age,19 Months,94.3,89.6 to 97.0,245
Hib,Primary Series,States/Local Areas,South Carolina,2011,Age,19 Months,93.1,87.7 to 96.2,252
Hib,Primary Series,States/Local Areas,South Carolina,2013,Age,19 Months,90.7,88.2 to 92.8,261
Hib,Primary Series,States/Local Areas,South Carolina,2013-2014,Age,19 Months,91.6,90.2 to 92.8,512
Hib,Primary Series,States/Local Areas,South Carolina,2014,Age,19 Months,92.4,87.0 to 95.7,251
Hib,Primary Series,States/Local Areas,South Carolina,2014-2015,Age,19 Months,94,91.1 to 96.1,524
Hib,Primary Series,States/Local Areas,South Carolina,2016,Age,13 Months,82.7,75.6 to 88.1,291
Hib,Primary Series,States/Local Areas,South Carolina,2016-2017,Age,13 Months,83.5,78.8 to 87.3,579
Hib,Primary Series,States/Local Areas,South Carolina,2011,Age,24 Months,93.1,88.4 to 96.4,252
Hib,Primary Series,States/Local Areas,South Carolina,2012,Age,24 Months,90.3,83.4 to 95.1,255
Hib,Primary Series,States/Local Areas,South Carolina,2017,Age,13 Months,84.2,77.4 to 89.2,288
Hib,Primary Series,States/Local Areas,South Carolina,2017-2018,Age,13 Months,84.9,80.2 to 88.6,532
Hib,Primary Series,States/Local Areas,South Carolina,2018,Age,13 Months,85.6,78.2 to 90.7,244
Hib,Primary Series,States/Local Areas,South Carolina,2018-2019,Age,13 Months,84.9,80.1 to 88.7,489
Hib,Primary Series,States/Local Areas,South Carolina,2012,Age,19 Months,90.3,83.8 to 94.3,255
Combined 7 Series,,States/Local Areas,South Carolina,2017,Age,24 Months,65.1,57.7 to 72.4,288
Combined 7 Series,,States/Local Areas,South Carolina,2017-2018,Age,24 Months,65,59.6 to 70.3,532
Combined 7 Series,,States/Local Areas,South Carolina,2018,Age,24 Months,64.8,56.8 to 72.8,244
Combined 7 Series,,States/Local Areas,South Carolina,2018-2019,Age,24 Months,67.5,62.0 to 73.0,489
Hib,Primary Series,States/Local Areas,South Carolina,2017,Age,7 Months,72.1,64.8 to 78.4,288
Hib,Primary Series,States/Local Areas,South Carolina,2017-2018,Age,7 Months,72.5,67.0 to 77.5,532
Hib,Primary Series,States/Local Areas,South Carolina,2016,Age,7 Months,72.2,64.3 to 78.9,291
Hib,Primary Series,States/Local Areas,South Carolina,2016-2017,Age,7 Months,72.2,66.9 to 76.9,579
Hib,Primary Series,States/Local Areas,South Carolina,2019,Age,7 Months,72.3,64.2 to 79.2,245
Hib,Primary Series,States/Local Areas,South Carolina,2012,Age,7 Months,73,68.6 to 77.1,255
Hib,Primary Series,States/Local Areas,South Carolina,2018,Age,7 Months,73,64.8 to 79.8,244
Hib,Primary Series,States/Local Areas,South Carolina,2018-2019,Age,7 Months,72.6,67.0 to 77.6,489
Hib,Primary Series,States/Local Areas,South Carolina,2015,Age,13 Months,86.4,79.0 to 91.5,273
Hib,Primary Series,States/Local Areas,South Carolina,2015-2016,Age,13 Months,84.6,79.7 to 88.5,564
Hib,Primary Series,States/Local Areas,South Carolina,2014,Age,13 Months,79.2,71.5 to 85.2,251
Hib,Primary Series,States/Local Areas,South Carolina,2014-2015,Age,13 Months,82.8,77.7 to 86.9,524
Hib,Primary Series,States/Local Areas,South Carolina,2015,Age,19 Months,95.6,95.1 to 96.2,273
Hib,Primary Series,States/Local Areas,South Carolina,2015-2016,Age,19 Months,93.9,91.0 to 95.9,564
Hib,Primary Series,States/Local Areas,South Carolina,2017,Age,19 Months,89.8,83.9 to 93.7,288
Hib,Primary Series,States/Local Areas,South Carolina,2017-2018,Age,19 Months,92.2,88.5 to 94.7,532
Hib,Primary Series,States/Local Areas,South Carolina,2018,Age,19 Months,94.5,89.3 to 97.3,244
Hib,Primary Series,States/Local Areas,South Carolina,2018-2019,Age,19 Months,84.9,80.1 to 88.7,489
Hib,Primary Series,States/Local Areas,South Carolina,2019,Age,13 Months,84.3,77.3 to 89.4,245
Hib,Primary Series,States/Local Areas,South Carolina,2015,Age,7 Months,69.2,60.6 to 76.7,273
Hib,Primary Series,States/Local Areas,South Carolina,2015-2016,Age,7 Months,70.7,64.9 to 75.9,564
Hib,Primary Series,States/Local Areas,South Carolina,2014,Age,7 Months,64.3,55.9 to 72.0,251
Hib,Primary Series,States/Local Areas,South Carolina,2014-2015,Age,7 Months,66.8,60.8 to 72.3,524
Hib,Primary Series,States/Local Areas,South Carolina,2016,Age,19 Months,92.1,86.8 to 95.4,291
Hib,Primary Series,States/Local Areas,South Carolina,2016-2017,Age,19 Months,91,87.2 to 93.7,579
Hib,Primary Series,States/Local Areas,South Carolina,2011,Age,13 Months,87.3,82.1 to 91.1,252
Hib,Primary Series,States/Local Areas,South Carolina,2012,Age,13 Months,84.8,78.6 to 89.5,255
Hib,Primary Series,States/Local Areas,South Carolina,2013,Age,13 Months,83.9,76.1 to 89.5,261
Hib,Primary Series,States/Local Areas,South Carolina,2013-2014,Age,13 Months,81.5,79.4 to 83.5,512
Hib,Primary Series,States/Local Areas,South Carolina,2015,Age,35 Months,97.1,94.5 to 98.7,273
Hib,Primary Series,States/Local Areas,South Carolina,2015-2016,Age,35 Months,96.2,93.5 to 98.0,564
Combined 7 Series,,States/Local Areas,South Carolina,2011,Age,24 Months,68.8,60.8 to 76.4,252
Hib,Primary Series,States/Local Areas,South Carolina,2013,Age,35 Months,92.8,87.2 to 96.5,261
Hib,Primary Series,States/Local Areas,South Carolina,2013-2014,Age,35 Months,94,90.9 to 96.4,512
Hib,Primary Series,States/Local Areas,South Carolina,2011,Age,35 Months,93.1,88.4 to 96.4,252
Hib,Primary Series,States/Local Areas,South Carolina,2019,Age,24 Months,95.7,92.4 to 97.9,245
Hib,Primary Series,States/Local Areas,South Carolina,2012,Age,35 Months,90.3,83.4 to 95.1,255
Hib,Primary Series,States/Local Areas,South Carolina,2014,Age,35 Months,95.3,92.0 to 97.5,251
Hib,Primary Series,States/Local Areas,South Carolina,2014-2015,Age,35 Months,96.2,94.3 to 97.7,524
Hib,Primary Series,States/Local Areas,South Carolina,2013,Age,24 Months,92.6,87.1 to 96.3,261
Hib,Primary Series,States/Local Areas,South Carolina,2013-2014,Age,24 Months,94,90.8 to 96.3,512
Combined 7 Series,,States/Local Areas,South Carolina,2013,Age,24 Months,61.5,53.8 to 69.2,261
Combined 7 Series,,States/Local Areas,South Carolina,2013-2014,Age,24 Months,61.4,55.8 to 67.0,512
Hib,Primary Series,States/Local Areas,South Carolina,2015,Age,24 Months,96.4,93.7 to 98.2,273
Hib,Primary Series,States/Local Areas,South Carolina,2015-2016,Age,24 Months,95.2,92.7 to 97.1,564
Hib,Primary Series,States/Local Areas,South Carolina,2014,Age,24 Months,95.3,92.0 to 97.5,251
Hib,Primary Series,States/Local Areas,South Carolina,2014-2015,Age,24 Months,95.9,93.9 to 97.4,524
Hib,Primary Series,States/Local Areas,South Carolina,2018,Age,24 Months,96,91.9 to 98.4,244
Hib,Primary Series,States/Local Areas,South Carolina,2018-2019,Age,24 Months,95.8,93.3 to 97.6,489
Hib,Primary Series,States/Local Areas,South Carolina,2016,Age,24 Months,93.9,89.3 to 97.0,291
Hib,Primary Series,States/Local Areas,South Carolina,2016-2017,Age,24 Months,92,88.6 to 94.7,579
Hib,Primary Series,States/Local Areas,South Carolina,2017,Age,24 Months,90.3,84.9 to 94.4,288
Hib,Primary Series,States/Local Areas,South Carolina,2017-2018,Age,24 Months,93.2,89.9 to 95.7,532
Combined 7 Series,,States/Local Areas,South Carolina,2012,Age,35 Months,77.2,66.5 to 86.4,255
Combined 7 Series,,States/Local Areas,South Carolina,2014,Age,35 Months,69.2,60.6 to 77.5,251
Combined 7 Series,,States/Local Areas,South Carolina,2014-2015,Age,35 Months,69.3,63.3 to 75.1,524
Hib,Primary Series,States/Local Areas,South Carolina,2017,Age,35 Months,91,85.5 to 95.0,288
Hib,Primary Series,States/Local Areas,South Carolina,2017-2018,Age,35 Months,94.2,91.0 to 96.5,532
Combined 7 Series,,States/Local Areas,South Carolina,2016,Age,24 Months,65.7,58.2 to 73.1,291
Combined 7 Series,,States/Local Areas,South Carolina,2016-2017,Age,24 Months,65.4,60.1 to 70.6,579
Hib,Primary Series,States/Local Areas,South Carolina,2019,Age,35 Months,96.2,93.0 to 98.2,245
Hib,Primary Series,States/Local Areas,South Carolina,2013,Age,7 Months,73.9,70.8 to 76.8,261
Hib,Primary Series,States/Local Areas,South Carolina,2013-2014,Age,7 Months,69.1,65.7 to 72.3,512
Combined 7 Series,,States/Local Areas,South Carolina,2019,Age,24 Months,70.1,62.4 to 77.4,245
Combined 7 Series,,States/Local Areas,South Carolina,2014,Age,24 Months,61.5,53.2 to 69.8,251
Combined 7 Series,,States/Local Areas,South Carolina,2014-2015,Age,24 Months,62.5,56.8 to 68.3,524
Combined 7 Series,,States/Local Areas,South Carolina,2015,Age,24 Months,63.6,55.8 to 71.4,273
Combined 7 Series,,States/Local Areas,South Carolina,2015-2016,Age,24 Months,64.7,59.2 to 70.1,564
Hib,Primary Series,States/Local Areas,South Carolina,2018,Age,35 Months,97.4,93.6 to 99.2,244
Hib,Primary Series,States/Local Areas,South Carolina,2018-2019,Age,35 Months,96.8,94.6 to 98.3,489
Combined 7 Series,,States/Local Areas,South Carolina,2013,Age,35 Months,70,61.9 to 77.8,261
Combined 7 Series,,States/Local Areas,South Carolina,2013-2014,Age,35 Months,69.7,63.7 to 75.4,512
Combined 7 Series,,States/Local Areas,South Carolina,2016,Age,35 Months,79.2,70.6 to 86.7,291
Combined 7 Series,,States/Local Areas,South Carolina,2016-2017,Age,35 Months,73.7,67.8 to 79.3,579
Combined 7 Series,,States/Local Areas,South Carolina,2017,Age,35 Months,67.5,60.0 to 74.8,288
Combined 7 Series,,States/Local Areas,South Carolina,2017-2018,Age,35 Months,70.8,64.7 to 76.6,532
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Uninsured,43.1,26.1 to 60.1,47
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a MSA Non-Principal City,65.8,60.4 to 71.2,508
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Urbanicity,Living In a MSA Principal City,66.6,60.2 to 72.9,395
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,"White, Non-Hispanic",65.5,60.7 to 70.4,635
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.1,53.0 to 77.2,91
Hep A,≥1 Dose,States/Local Areas,South Carolina,2013,Age,24 Months,84.1,77.7 to 89.5,261
Hep A,≥1 Dose,States/Local Areas,South Carolina,2013-2014,Age,24 Months,84.6,80.3 to 88.4,512
Hep A,≥1 Dose,States/Local Areas,South Carolina,2011,Age,24 Months,81.3,74.1 to 87.6,252
Hep A,≥1 Dose,States/Local Areas,South Carolina,2019,Age,19 Months,89.2,83.7 to 93.0,245
Hep A,≥1 Dose,States/Local Areas,South Carolina,2012,Age,24 Months,78.4,70.2 to 85.5,255
Combined 7 Series,,States/Local Areas,South Carolina,2018,Age,35 Months,73.6,64.4 to 82.1,244
Combined 7 Series,,States/Local Areas,South Carolina,2018-2019,Age,35 Months,74.2,68.3 to 79.8,489
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Any Medicaid,64.4,58.6 to 70.3,440
Combined 7 Series,,States/Local Areas,South Carolina,2014-2017,Insurance Coverage,Private Insurance Only,70,64.6 to 75.5,501
Combined 7 Series,,States/Local Areas,South Carolina,2019,Age,35 Months,74.7,67.0 to 81.9,245
DTaP,≥3 Doses,States/Local Areas,South Carolina,2016,Age,35 Months,94.4,89.7 to 97.4,291
DTaP,≥3 Doses,States/Local Areas,South Carolina,2016-2017,Age,35 Months,94.2,91.2 to 96.4,579
DTaP,≥3 Doses,States/Local Areas,South Carolina,2015,Age,35 Months,97.7,95.1 to 99.1,273
DTaP,≥3 Doses,States/Local Areas,South Carolina,2015-2016,Age,35 Months,96.3,93.7 to 98.0,564
