state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
New Jersey,NJ A 1899,0,1,1,"Allows pharmacists, pharmacy interns, and pharmacy technicians to vaccinate children against COVID-19 / flu without prescription",Signed into law
New Jersey,NJ S 4067,NA,0,NA,Would require health insurance carriers to reimburse for vaccines at rates consistent with CDC cost per dose,"Still in committee - NJ does not really adjourn, they can still come back this fall"
New Jersey,NJ A 1307 / NJ S 377,1,0,0,"Would add additional requirements to obtain consent for vaccination, such as vaccine insert and VAERS reporting to guardian 48 hours prior to vaccine administration",Was introduced in 2024 but is still part of current session and can still be voted on
New Jersey,NJ A 1523,1,0,0,Would require parents to opt in to NJ Immunization Information System,Referred to committee
New Jersey,NJ S 379,1,0,0,"Would create a ""Children's Vaccination Bill of Rights,"" emphasizing vaccine opt-out",2023-24 session
New York,NY S 7729,1,0,1,Would require rotavirus immunization for school attendance,Referred to committee
New York,NY S 7823 & NY A 8383,1,0,1,Would remove reference to the Advisory Committee on Immunization Practices (ACIP) in the state's meningococcal vaccine recommendation,Referred to committee
New York,NY S 7851 & NY A 8343,NA,0,1,Would add failure to immunize child to definition of parental neglect,Dead
New York,NY S 369 & NY A 7642,NA,0,1,Would protect vaccinated persons from discrimination,Referred to committee
New York,NY A 7692 & NY S 5706,NA,0,1,Would allow nursing students to administer vaccines,Kind of neutral - still in committee
New York,NY A 7988,NA,0,1,Would allow physician assistants to independently administer vaccines,Referred to committee
New York,NY S 5852,NA,0,NA,Would require insurance reimbursement for total practice expenses associated with vaccinations,Referred to committee
New York,NY S 7025,NA,0,1,Would allow pharmacy technicians to administer vaccines under pharmacist supervision,Referred to committee
New York,NY S 5700,NA,0,1,Would remove religious exemptions for post-secondary students,Referred to committee - not relevant for school-aged children but still interesting
New York,NY A 4993,NA,0,0,Would establish liability against the state for injury caused by administration of state-mandated vaccine,Referred to committee
New York,NY A 3860,NA,0,NA,Would direct schools to accept medical immunization exemptions,Referred to committee  - don't understand what this adds
New York,NY A 3254 + NY S 3958,NA,0,1,Would require immunizations for children and staff at summer camps,Referred to committee
New York,NY S 3299 & NY A 3455,NA,0,0,Would require parents to be present during vaccine administration,Referred to committee
New York,NY S 3547,NA,0,1,Would require school-based health centers to offer vaccination,Referred to committee
New York,NY A 2045,NA,0,0,Would remove school immunization requirements,Referred to committee
New York,NY A 2078,NA,0,1,Would require hepatitis B vaccination for post-secondary students,Referred to committee â€“Â not relevant for school-aged children but still interesting
New York,NY S 3020,1,0,0,Would exempt private and parochial schools from immunization requirements,Referred to committee
New York,NY S 266 & NY A 1358,1,0,0,Would allow for religious vaccination exemptions,Referred to committee
New York,NY A 1153,NA,0,1,Would require schools to use standardized medical immunization exemption request form,Referred to committee - unclear if this is good?
New York,NY A 3082,0,0,1,Would require middle schools and high schools to provide instruction on vaccine science,Referred to committee
New York,NY S 1570,0,0,1,Would permit children 14 years and older to receive vaccinations without parental consent,Referred to committee
New York,NY A 1908,1,0,0,Would require providers to provide additional information about vaccines 48 hours ahead of administering,Referred to committee
New York,NY S 453,NA,0,1,Would require NYC providers to report immunization for those 19 and older to DOH/city immunization registry,Not relevant to target population but interesting
New York,NY S 4536,NA,0,1,Would require IIS to record data on vaccine exemptions reported by each health care provider,Referred to committee
New York,NY A 1153,0,0,1,Would standardize the medical immunization exemption request form for school use,
North Carolina,NC HB 803,1,0,0,Would require vaccines added to state immunization schedule to have been approved by FDA for at least 3 years,Recessed
North Carolina,NC SB 373,1,0,0,Would prohibit health care providers from refusing patients who are not up-to-date on vaccinations,Recessed
North Carolina,NC HB 380,1,0,0,"Would expand non-medical vaccination exemptions to include ""conscientious objections""",Recessed
North Carolina,NC HB 89,NA,0,0,Would remove immunization requirements for college students in the state,Recessed
North Carolina,NC HB 75,NA,0,NA,Would add requirements for commercial messaging about vaccines,Not really relevant but interesting
Ohio,OH HB 319,0,0,0,Would prohibit discrimination based on vaccination status,2023-24 session
Ohio,OH HB 289,1,0,1,"Would establish a universal health care plan for state residents, including coverage for immunizations",Referred to committee
Ohio,OH SB 144,1,1,1,Allows pharmacists and pharmacy technicians to administer vaccines to children 5 and over,2023-24
Oklahoma,OK SB 943,0,0,0,"Would create ""Oklahoma Medical Freedom Act"" to prevent discrimination due to vaccination status",Died in committee
Oklahoma,OK HB 1475,0,0,0,Would prohibit school discrimination against students due to vaccination status,Died in committee
Oklahoma,OK SB 762,NA,0,NA,Would prevent state from basing decisions on World Health Organization mandates,Died in committee but thought it was interesting
Oklahoma,OK SB 941,0,0,0,Would add additional requirements for labeling vaccine ingredients,Died in committee
Oklahoma,OK SB 879,NA,0,0,Would prohibit administration of Hepatitis B birth dose vaccination without written consent,Died in committee and not relevant for school-aged children
Oklahoma,OK SB 807,1,0,0,Would require providers to give caregivers additional information and obtain written consent before administering vaccines,Died in committee
Oklahoma,OK HB 3249,0,0,0,Would allow conscientious exemptions to childcare vaccine requirements,2023-24
Oregon,OR SB 1100,NA,0,0,Would prohibit schools from requiring any mRNA vaccines for enrollment,Failed
Oregon,OR SB 383,1,0,0,"Would prohibit discrimination based on vaccination status, including for schoolchildren",Failed
Oregon,OR SJR 31,1,0,0,Proposes an amendment to the Oregon Constitution to prohibit requiring any specific vaccine unless encoded by state law,
Oregon,OR S 42,1,0,1,"Would give money to Oregon Health Authority for the Vaccine Access Program, for vaccine purchases",
Oregon,OR HB 4010,0,1,1,Will allow pharmacists to vaccinate children age 3 and over,Enacted 2023-24
Pennsylvania,PA HB 695,1,0,0,"Would require providers to continue caring for children who do not follow the recommended vaccine schedule, as long as they receive one vaccine each year",Referred to committee
Pennsylvania,PA HB 617,0,0,0,"Would allow individuals to refuse any vaccine based on ""medical freedom""",Referred to committee
Pennsylvania,PA HB 447,1,0,0,Would require schools to prominently disseminate information on how to obtain vaccination exemptions,Referred to committee
Pennsylvania,PA SB 957,NA,0,0,Would require providers to disclose vaccination status of available blood to patients ahead of transfusion.,Not relevant for our purposes but interesting (and impractical)
Pennsylvania,PA HB 120,0,0,0,Would require guardians to provide consent for the administration of vaccines to children under 18,Referred to committee
Pennsylvania,PA HB 1828,1,0,1,"Would allow the PA Department of Health to make the vaccine schedule, referring to the Advisory Committee on Immunization Practices (ACIP), AAP, and other sources",
Pennsylvania,PA HB 2244,0,0,1,Would require schools to report the number of vaccinated/unvaccinated students on their website,2023-24
Georgia,GA HB 173,0,0,1,Would require the Department of Education to provide parents with information about recommended adolescent vaccinations,Died in chambers
Georgia,GA HB 576,0,0,NA,Require that vaccination status cannot be used to make decisions surrounding organ donation receipt.,Died in chambers
Georgia,GA SB 345,0,1,0,Prohibit any governmental entity (state and local) from mandating vaccine passports or requiring proof of COVID-19 vaccination to access services or facilities,NA
Georgia,GA SB 262,1,0,1,"Would require insurers to fully cover preventive services, including immunization, without cost-sharing requirements",
Georgia,GA HB 897,1,0,0,"Would prohibit state or local governments from requiring vaccinations as a condition for accessing public services, including education",
Georgia,GA SR 304,1,1,1,Includes RSV vaccination and monoclonal antibodies within the Vaccines for Children program,
Hawaii,HI HB 2392,0,1,1,Makes an emergency appropriation for coronavirus disease 2019 pandemic mitigation including vaccination response activities.,NA
Hawaii,HI HB 72,NA,1,1,Requires pharmacy technicians be registered to perform their duties (including administration vaccines),NA
Hawaii,HI HR 169,1,1,1,"Requires the Department of Health to undertake preliminary education, outreach, and vaccination drive efforts at schools with vaccination rates under 30%",NA
Hawaii,HI SB 1434,1,1,1,"Establishes a universal funding program for immunizations, which will allow for the administration of vaccines at no cost",NA
Hawaii,HI SB 1437,1,0,1,Would remove the option of non-medical exemptions to immunization requirements,Died in committee
Hawaii,HI HB 1715,1,0,0,"Would establish a ""Parental Bill of Rights"" to include expanding non-medical exemptions for vaccine mandates",
Hawaii,HI HB 2553,1,1,1,Allows pharmacists and pharmacy technicians to administer vaccines to children 3 years and older,
Hawaii,HI SCR 129-2025,0,0,1,"Urging The Department Of Health To Undertake Preliminary Education, Outreach, And Vaccination Drive Efforts At Schools In Hawaii With Vaccination Rates Under Fifty Percent, Prioritizing Schools With Vaccination Rates Under Thirty Percent, Beginning At The Start Of The 2025-2026 School Year.",Died in committee
Hawaii,HI SR 108-2025,0,0,1,"Urging The Department Of Health To Undertake Preliminary Education, Outreach, And Vaccination Drive Efforts At Schools In Hawaii With Vaccination Rates Under Fifty Percent, Prioritizing Schools With Vaccination Rates Under Thirty Percent, Beginning At The Start Of The 2025-2026 School Year.",Died in committee
Idaho,ID H131,0,0,0,"Require blood donations to be labeled if the donor had received a COVID-19 or other mRNA vaccine, allowing requests based on such labeling",Died in committee
Idaho,ID H135,NA,1,NA,Removes immunization services from list of those that do not require verification of lawful presence in the US,NA
Idaho,ID H 290,1,1,0,"Codifies immunization and documentation requirements for schools and daycares, including a simple opt-out process for exemptions",NA
Idaho,ID H 397,1,0,0,Would change inclusion in the state's immunization registry from opt-out to opt-in,NA
Idaho,ID H 438,1,0,0,"Would require that all school communications to parents about vaccine requirements include information about non-medical exemptions and state that ""immunizations are not mandatory""",Died in committee
Idaho,ID S 1227,0,0,0,"Would establish the ""Bill of Patient Medical Rights,"" under which patients cannot be denied treatment due to refusing a vaccine",
Idaho,ID H472,NA,0,0,Amends existing law to prohibit medical mandates under certain conditions,Died in committee
